SelectionRatio,FeatureID
0.55556,7.00000
0.16667,7.00000
0.25000,7.00000
0.00000,8.00000
0.33333,8.00000
0.60000,8.00000
0.00000,8.00000
0.00000,8.00000
0.20000,8.00000
0.40000,8.00000
0.00000,8.00000
0.00000,8.00000
0.11111,8.00000
0.00000,8.00000
0.50000,8.00000
0.00000,8.00000
0.00000,8.00000
0.00000,8.00000
0.25000,8.00000
0.00000,8.00000
0.00000,8.00000
0.00000,8.00000
0.00000,8.00000
0.33333,8.00000
0.50000,8.00000
0.25000,8.00000
0.33333,8.00000
0.20000,8.00000
0.37500,8.00000
0.50000,8.00000
0.44444,8.00000
0.33333,8.00000
0.25000,8.00000
0.28571,9.00000
0.00000,9.00000
0.40000,9.00000
0.50000,9.00000
0.20000,9.00000
0.20000,9.00000
0.20000,9.00000
0.80000,9.00000
0.40000,9.00000
0.55556,9.00000
0.00000,9.00000
0.16667,9.00000
0.33333,9.00000
0.00000,9.00000
0.00000,9.00000
0.25000,9.00000
0.33333,9.00000
0.00000,9.00000
0.00000,9.00000
0.00000,9.00000
0.00000,9.00000
0.16667,9.00000
0.00000,9.00000
0.00000,9.00000
0.00000,9.00000
0.12500,9.00000
0.16667,9.00000
0.11111,9.00000
0.00000,9.00000
0.25000,9.00000
0.00000,10.00000
0.00000,10.00000
0.20000,10.00000
0.00000,10.00000
0.20000,10.00000
0.00000,10.00000
0.20000,10.00000
0.00000,10.00000
0.00000,10.00000
0.11111,10.00000
0.00000,10.00000
0.33333,10.00000
0.33333,10.00000
0.00000,10.00000
0.00000,10.00000
0.25000,10.00000
0.33333,10.00000
0.00000,10.00000
0.00000,10.00000
0.00000,10.00000
0.33333,10.00000
0.16667,10.00000
0.12500,10.00000
0.00000,10.00000
0.40000,10.00000
0.25000,10.00000
0.33333,10.00000
0.33333,10.00000
0.16667,10.00000
0.25000,10.00000
0.00000,11.00000
0.66667,11.00000
0.40000,11.00000
0.00000,11.00000
0.40000,11.00000
0.20000,11.00000
0.40000,11.00000
0.00000,11.00000
0.40000,11.00000
0.22222,11.00000
0.00000,11.00000
0.16667,11.00000
0.00000,11.00000
0.00000,11.00000
0.00000,11.00000
0.50000,11.00000
0.00000,11.00000
0.00000,11.00000
0.00000,11.00000
0.00000,11.00000
0.00000,11.00000
0.33333,11.00000
0.00000,11.00000
0.33333,11.00000
0.40000,11.00000
0.50000,11.00000
0.16667,11.00000
0.00000,11.00000
0.00000,11.00000
0.50000,11.00000
0.14286,12.00000
0.00000,12.00000
0.40000,12.00000
0.25000,12.00000
0.20000,12.00000
0.00000,12.00000
0.00000,12.00000
0.40000,12.00000
0.00000,12.00000
0.55556,12.00000
0.33333,12.00000
0.66667,12.00000
0.66667,12.00000
0.33333,12.00000
0.33333,12.00000
0.50000,12.00000
0.66667,12.00000
0.50000,12.00000
0.33333,12.00000
0.33333,12.00000
0.00000,12.00000
0.00000,12.00000
0.00000,12.00000
0.00000,12.00000
0.00000,12.00000
0.00000,12.00000
0.00000,12.00000
0.00000,12.00000
0.00000,12.00000
0.00000,12.00000
0.14286,13.00000
0.00000,13.00000
0.20000,13.00000
0.25000,13.00000
0.20000,13.00000
0.40000,13.00000
0.40000,13.00000
0.40000,13.00000
0.80000,13.00000
0.55556,13.00000
0.00000,13.00000
0.16667,13.00000
0.33333,13.00000
0.00000,13.00000
0.00000,13.00000
0.50000,13.00000
0.00000,13.00000
0.00000,13.00000
0.00000,13.00000
0.00000,13.00000
0.16667,13.00000
0.16667,13.00000
0.37500,13.00000
0.16667,13.00000
0.40000,13.00000
0.12500,13.00000
0.16667,13.00000
0.22222,13.00000
0.00000,13.00000
0.25000,13.00000
0.28571,14.00000
0.33333,14.00000
0.60000,14.00000
0.75000,14.00000
0.40000,14.00000
0.40000,14.00000
0.80000,14.00000
0.60000,14.00000
0.80000,14.00000
0.66667,14.00000
0.33333,14.00000
0.33333,14.00000
0.66667,14.00000
0.33333,14.00000
0.33333,14.00000
0.25000,14.00000
0.66667,14.00000
0.50000,14.00000
0.33333,14.00000
0.33333,14.00000
0.16667,14.00000
0.16667,14.00000
0.12500,14.00000
0.16667,14.00000
0.00000,14.00000
0.00000,14.00000
0.16667,14.00000
0.11111,14.00000
0.00000,14.00000
0.25000,14.00000
0.28571,15.00000
0.33333,15.00000
0.20000,15.00000
0.50000,15.00000
0.40000,15.00000
0.20000,15.00000
0.00000,15.00000
0.00000,15.00000
0.20000,15.00000
0.11111,15.00000
0.00000,15.00000
0.16667,15.00000
0.33333,15.00000
0.00000,15.00000
0.00000,15.00000
0.00000,15.00000
0.33333,15.00000
0.00000,15.00000
0.00000,15.00000
0.00000,15.00000
0.00000,15.00000
0.00000,15.00000
0.12500,15.00000
0.00000,15.00000
0.20000,15.00000
0.25000,15.00000
0.00000,15.00000
0.11111,15.00000
0.16667,15.00000
0.00000,15.00000
0.14286,16.00000
0.33333,16.00000
0.20000,16.00000
0.25000,16.00000
0.00000,16.00000
0.00000,16.00000
0.20000,16.00000
0.20000,16.00000
0.00000,16.00000
0.11111,16.00000
0.00000,16.00000
0.50000,16.00000
0.33333,16.00000
0.00000,16.00000
0.00000,16.00000
0.25000,16.00000
0.00000,16.00000
0.00000,16.00000
0.00000,16.00000
0.00000,16.00000
0.00000,16.00000
0.16667,16.00000
0.00000,16.00000
0.00000,16.00000
